,collinear_energy,delta,parallel_energy,perpendicular_energy,strain,E_110,E_-110,cell_length
0,-21.38640564,1.2449999999830652e-05,-21.71812171,-21.71810926,-0.02,-21.71812171,-21.71810926,3.21370812
1,-21.38949526,1.220000000046184e-05,-21.72077377,-21.72076157,-0.015,-21.72077377,-21.72076157,3.2301045900000003
2,-21.39165604,8.44000000199685e-06,-21.72249881,-21.72249037,-0.01,-21.72249881,-21.72249037,3.24650106
3,-21.39291292,4.3900000008534334e-06,-21.72332197,-21.72331758,-0.005,-21.72332197,-21.72331758,3.26289753
4,-21.39329127,6.799999994200334e-07,-21.72327259,-21.72327191,0.0,-21.72327259,-21.72327191,3.279294
5,-21.39281807,-4.119999999829815e-06,-21.72237598,-21.7223801,0.005,-21.72237598,-21.7223801,3.2956904700000003
6,-21.39152061,-9.35999999995829e-06,-21.72065925,-21.72066861,0.01,-21.72065925,-21.72066861,3.3120869400000004
7,-21.38942369,-1.4069999998866932e-05,-21.71814573,-21.7181598,0.015,-21.71814573,-21.7181598,3.32848341
8,-21.38655151,-1.9919999999729043e-05,-21.71486038,-21.7148803,0.02,-21.71486038,-21.7148803,3.34487988
