,angle,dir_x,dir_y,dir_z,energy,tetta
0,90.0,-1.0,1.0,0.0,-21.71663344,135.0
1,86.98721249581666,-9.0,10.0,0.0,-21.71663345,131.98721249581666
2,8.130102354156005,3.0,4.0,0.0,-21.71663248,53.13010235415599
3,78.69006752597979,-2.0,3.0,0.0,-21.71663351,123.6900675259798
4,71.56505117707799,-1.0,2.0,0.0,-21.7166336,116.56505117707799
5,63.43494882292202,-1.0,3.0,0.0,-21.7166337,108.43494882292202
6,59.03624346792648,-1.0,4.0,0.0,-21.71663373,104.03624346792648
7,50.71059313749964,-1.0,10.0,0.0,-21.71663371,95.71059313749964
8,47.86240522611176,-1.0,20.0,0.0,-21.71663368,92.86240522611175
9,45.00000000000001,0.0,1.0,0.0,-21.71663364,90.0
10,42.137594773888274,1.0,20.0,0.0,-21.71663358,87.13759477388825
11,39.28940686250036,1.0,10.0,0.0,-21.71663351,84.28940686250037
12,30.963756532073536,1.0,4.0,0.0,-21.71663324,75.96375653207353
13,26.565051177078008,1.0,3.0,0.0,-21.71663308,71.56505117707799
14,18.434948822922035,1.0,2.0,0.0,-21.71663277,63.43494882292201
15,11.309932474020227,2.0,3.0,0.0,-21.71663255,56.309932474020215
16,8.130102354156005,3.0,4.0,0.0,-21.71663248,53.13010235415599
17,3.0127875041834073,9.0,10.0,0.0,-21.71663241,48.01278750418334
18,1.2074182697257333e-06,1.0,1.0,0.0,-21.7166324,45.00000000000001
